Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYear,SatisfactionScore,LoyaltyIndex,WorkloadScore,CareerGrowthRate,OverTimeRisk,TenureStabilityIndex,OverTimeXSatisfaction,StagnationRisk,IncomeVsExperience,DistanceXOverTime
21,Travel_Rarely,501,Sales,5,Below College,Medical,High,Male,58,High,1,Sales Representative,Low,Single,2380,25479,1,Yes,11,Excellent,Very High,0,2.0,6,Better,2,2,1,2,793.3333333333334,2.75,0.6666666666666666,18,0.3333333333333333,1,1.0,4,0.3333333333333333,793.3333333333334,5
52,Travel_Rarely,723,Research & Development,8,Master,Medical,High,Male,85,Medium,2,Research Scientist,Medium,Married,4941,17747,2,No,15,Excellent,Low,0,11.0,3,Good,8,2,7,7,549.0,2.0,0.5833333333333334,6,0.1111111111111111,0,3.6666666666666665,0,0.7777777777777778,411.75,0
22,Travel_Rarely,604,Research & Development,6,Below College,Medical,Low,Male,69,High,1,Research Scientist,High,Married,2773,12145,0,No,20,Outstanding,Very High,0,3.0,3,Better,2,2,2,2,924.3333333333334,2.75,0.5,9,0.0,0,3.0,0,0.6666666666666666,693.25,0
34,Non-Travel,697,Research & Development,3,Master,Life Sciences,High,Male,40,Medium,1,Research Scientist,Very High,Married,2979,22478,3,No,17,Excellent,Very High,3,6.0,2,Better,0,0,0,0,2979.0,3.5,0.0,4,0.0,0,1.5,0,0.0,425.57142857142856,0
36,Travel_Rarely,329,Sales,16,Master,Marketing,High,Female,98,Medium,2,Sales Executive,Low,Married,5647,13494,4,No,13,Excellent,Low,2,11.0,3,Good,3,2,0,2,1411.75,1.75,0.16666666666666666,6,0.75,0,2.2,0,0.0,470.5833333333333,0
33,Travel_Rarely,1277,Research & Development,15,Below College,Medical,Medium,Male,56,High,3,Manager,High,Married,13610,24619,7,Yes,12,Excellent,Very High,0,15.0,2,Best,7,6,7,7,1701.25,3.25,0.4375,6,0.0,1,1.875,2,0.875,850.625,15
22,Travel_Rarely,1230,Research & Development,1,College,Life Sciences,Very High,Male,33,Medium,2,Manufacturing Director,Very High,Married,4775,19146,6,No,22,Outstanding,Low,2,4.0,2,Bad,2,2,2,2,1591.6666666666667,2.5,0.4,4,0.0,0,0.5714285714285714,0,0.6666666666666666,955.0,0
56,Travel_Rarely,718,Research & Development,4,Master,Technical Degree,Very High,Female,92,High,5,Manager,Low,Divorced,16581,18575,4,No,13,Excellent,Very High,1,28.0,2,Better,5,2,4,2,2763.5,3.0,0.06896551724137931,6,0.16666666666666666,0,5.6,0,0.6666666666666666,571.7586206896551,0
29,Travel_Rarely,1329,Research & Development,7,Bachelor,Life Sciences,High,Male,82,High,2,Healthcare Representative,Very High,Divorced,6623,4204,1,Yes,11,Excellent,Medium,2,6.0,2,Better,6,0,1,0,946.1428571428571,3.0,0.0,6,0.7142857142857143,1,3.0,1,0.14285714285714285,946.1428571428571,7
36,Travel_Rarely,884,Sales,1,Master,Life Sciences,Medium,Female,73,High,2,Sales Executive,High,Single,6815,21447,6,No,13,Excellent,Low,0,15.0,5,Better,1,0,0,0,3407.5,2.25,0.0,15,0.5,0,2.142857142857143,0,0.0,425.9375,0
34,Travel_Rarely,1239,Sales,13,Master,Medical,Very High,Male,39,High,3,Sales Executive,High,Divorced,8628,22914,1,No,18,Excellent,High,1,9.0,2,Good,8,7,1,1,958.6666666666666,3.0,0.1,6,0.7777777777777778,0,4.5,0,0.1111111111111111,862.8,0
34,Travel_Rarely,665,Research & Development,6,Master,Other,Low,Female,41,High,2,Research Scientist,High,Single,4809,12482,1,No,14,Excellent,High,0,16.0,3,Better,16,13,2,10,282.88235294117646,2.5,0.5882352941176471,9,0.8235294117647058,0,8.0,0,0.11764705882352941,282.88235294117646,0
50,Travel_Rarely,989,Research & Development,7,College,Medical,Medium,Female,43,Medium,5,Research Director,High,Divorced,16581,16701,5,Yes,12,Excellent,Very High,1,28.5,2,Good,18,3,13,8,872.6842105263158,2.75,0.2711864406779661,4,0.2631578947368421,1,4.75,2,0.6842105263157895,562.0677966101695,7
38,Travel_Rarely,903,Research & Development,2,Bachelor,Medical,High,Male,81,High,2,Manufacturing Director,Medium,Married,4855,7653,4,No,11,Excellent,Low,2,7.0,2,Better,5,2,1,4,809.1666666666666,2.25,0.5,6,0.6666666666666666,0,1.4,0,0.16666666666666666,606.875,0
30,Travel_Rarely,740,Sales,1,Bachelor,Life Sciences,Medium,Male,64,Medium,2,Sales Executive,Low,Married,9714,5323,1,No,11,Excellent,Very High,1,10.0,4,Better,10,8,6,7,883.0909090909091,2.5,0.6363636363636364,8,0.36363636363636365,0,5.0,0,0.5454545454545454,883.0909090909091,0
44,Travel_Rarely,1099,Sales,5,Bachelor,Marketing,Medium,Male,88,High,5,Manager,Medium,Married,16581,8751,7,No,11,Excellent,High,1,26.0,5,Better,18,9,3,10,872.6842105263158,2.5,0.37037037037037035,15,0.7894736842105263,0,3.25,0,0.15789473684210525,614.1111111111111,0
48,Travel_Frequently,365,Research & Development,4,Doctor,Medical,High,Male,89,Medium,4,Manager,Very High,Married,15202,5602,2,No,25,Outstanding,Medium,1,23.0,3,Better,2,2,2,2,5067.333333333333,3.0,0.08333333333333333,6,0.0,0,7.666666666666667,0,0.6666666666666666,633.4166666666666,0
58,Travel_Rarely,1145,Research & Development,9,Bachelor,Medical,Medium,Female,75,Medium,1,Research Scientist,Medium,Married,3346,11873,4,Yes,20,Outstanding,Medium,1,9.0,3,Good,1,0,0,0,1673.0,2.0,0.0,6,0.5,1,1.8,3,0.0,334.6,9
29,Non-Travel,746,Sales,2,Bachelor,Life Sciences,Very High,Male,61,High,2,Sales Executive,High,Married,4649,16928,1,No,14,Excellent,Low,1,4.0,3,Good,4,3,0,2,929.8,2.5,0.4,9,0.8,0,2.0,0,0.0,929.8,0
34,Travel_Rarely,258,Sales,21,Master,Life Sciences,Very High,Male,74,Very High,2,Sales Executive,Very High,Single,5337,19921,1,No,12,Excellent,Very High,0,10.0,3,Better,10,7,5,7,485.1818181818182,3.75,0.6363636363636364,12,0.45454545454545453,0,5.0,0,0.45454545454545453,485.1818181818182,0
27,Non-Travel,1277,Research & Development,8,Doctor,Life Sciences,Low,Male,87,Low,1,Laboratory Technician,High,Married,4621,5869,1,No,19,Excellent,Very High,3,3.0,4,Better,3,2,1,2,1155.25,2.75,0.5,4,0.5,0,1.5,0,0.25,1155.25,0
42,Travel_Rarely,462,Sales,14,College,Medical,High,Female,68,Medium,2,Sales Executive,High,Single,6244,7824,7,No,17,Excellent,Low,0,10.0,6,Better,5,4,0,3,1040.6666666666667,2.5,0.2727272727272727,12,0.8333333333333334,0,1.25,0,0.0,567.6363636363636,0
41,Travel_Frequently,1200,Research & Development,22,Bachelor,Life Sciences,Very High,Female,75,High,2,Research Scientist,Very High,Divorced,5467,13953,3,Yes,14,Excellent,Low,2,12.0,4,Good,6,2,3,3,781.0,2.75,0.23076923076923078,12,0.42857142857142855,1,3.0,1,0.42857142857142855,420.53846153846155,22
37,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,High,Male,87,High,3,Sales Executive,Very High,Single,7428,14506,2,No,12,Excellent,Low,0,12.0,3,Better,5,3,1,3,1238.0,2.75,0.23076923076923078,9,0.6666666666666666,0,4.0,0,0.16666666666666666,571.3846153846154,0
25,Travel_Rarely,1219,Research & Development,4,Below College,Technical Degree,Very High,Male,32,High,1,Laboratory Technician,Very High,Married,3691,4605,1,Yes,15,Excellent,Medium,1,7.0,3,Best,7,7,5,6,461.375,3.5,0.75,9,0.25,1,3.5,1,0.625,461.375,4
33,Travel_Frequently,1146,Sales,25,Bachelor,Medical,Medium,Female,82,High,2,Sales Executive,High,Married,4539,4905,1,No,12,Excellent,Low,1,10.0,3,Good,10,7,0,1,412.6363636363636,2.0,0.09090909090909091,9,0.9090909090909091,0,5.0,0,0.0,412.6363636363636,0
32,Travel_Rarely,1093,Sales,6,Master,Medical,Medium,Male,87,High,2,Sales Executive,High,Single,5010,24301,1,No,16,Excellent,Low,0,12.0,0,Better,11,8,5,7,417.5,2.25,0.5384615384615384,0,0.5,0,6.0,0,0.4166666666666667,385.38461538461536,0
36,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,Medium,Female,82,Medium,1,Research Scientist,Low,Married,3419,13072,9,Yes,14,Excellent,Very High,1,6.0,3,Best,1,1,0,0,1709.5,2.75,0.0,6,0.5,1,0.6,4,0.0,488.42857142857144,5
26,Travel_Rarely,1449,Research & Development,16,Master,Medical,Low,Male,45,High,1,Laboratory Technician,Medium,Divorced,2373,14180,2,Yes,13,Excellent,Very High,1,5.0,2,Better,3,2,0,2,593.25,2.5,0.3333333333333333,6,0.75,1,1.6666666666666667,3,0.0,395.5,16
40,Travel_Rarely,884,Research & Development,15,Bachelor,Life Sciences,Low,Female,80,Medium,3,Manufacturing Director,High,Married,10435,25800,1,No,13,Excellent,Very High,2,18.0,2,Better,18,15,14,12,549.2105263157895,2.75,0.631578947368421,4,0.21052631578947367,0,9.0,0,0.7368421052631579,549.2105263157895,0
39,Travel_Frequently,945,Research & Development,22,Bachelor,Medical,Very High,Female,82,High,3,Manufacturing Director,Low,Single,10880,5083,1,Yes,13,Excellent,High,0,21.0,2,Better,18,6,2,8,572.6315789473684,2.75,0.36363636363636365,6,0.8421052631578947,1,10.5,4,0.10526315789473684,494.54545454545456,22
48,Non-Travel,1262,Research & Development,1,Master,Medical,Low,Male,35,Very High,4,Manager,Very High,Single,16581,16154,2,No,22,Outstanding,High,0,27.0,3,Good,5,4,2,1,2763.5,2.5,0.03571428571428571,12,0.5,0,9.0,0,0.3333333333333333,592.1785714285714,0
32,Non-Travel,300,Research & Development,1,Bachelor,Life Sciences,Very High,Male,61,High,1,Laboratory Technician,Very High,Divorced,2314,9148,0,No,12,Excellent,Medium,1,4.0,2,Better,3,0,0,2,578.5,3.25,0.4,6,0.75,0,4.0,0,0.0,462.8,0
43,Travel_Rarely,930,Research & Development,6,Bachelor,Medical,Low,Female,73,Medium,2,Research Scientist,High,Single,4081,20003,1,Yes,14,Excellent,Low,0,20.0,3,Bad,18,7,1,8,214.78947368421052,1.5,0.38095238095238093,6,0.8947368421052632,1,10.0,2,0.05263157894736842,194.33333333333334,6
39,Travel_Frequently,203,Research & Development,2,Bachelor,Life Sciences,Low,Male,84,High,4,Healthcare Representative,Very High,Divorced,12169,13547,7,No,11,Excellent,Very High,3,21.0,4,Better,18,7,11,5,640.4736842105264,3.0,0.22727272727272727,12,0.3684210526315789,0,2.625,0,0.5789473684210527,553.1363636363636,0
20,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,Very High,Female,66,Medium,1,Laboratory Technician,Very High,Single,2926,19783,1,Yes,18,Excellent,Medium,0,1.0,5,Better,1,0,1,0,1463.0,3.25,0.0,10,0.0,1,0.5,1,0.5,1463.0,6
39,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,Very High,Male,56,High,2,Sales Representative,Very High,Married,2086,3335,3,No,14,Excellent,High,1,19.0,6,Best,1,0,0,0,1043.0,3.75,0.0,18,0.5,0,4.75,0,0.0,104.3,0
34,Travel_Rarely,1320,Research & Development,20,Bachelor,Technical Degree,High,Female,89,Very High,1,Research Scientist,High,Married,2585,21643,0,No,17,Excellent,Very High,0,2.0,5,Good,1,0,0,0,1292.5,3.0,0.0,20,0.5,0,2.0,0,0.0,861.6666666666666,0
38,Travel_Frequently,240,Research & Development,2,Master,Life Sciences,Low,Female,75,Very High,2,Manufacturing Director,Low,Single,5980,26085,6,Yes,12,Excellent,Very High,0,17.0,2,Better,15,7,4,12,373.75,2.25,0.6666666666666666,8,0.6875,1,2.4285714285714284,4,0.25,332.22222222222223,2
28,Travel_Rarely,760,Sales,2,Master,Marketing,Medium,Female,81,High,2,Sales Executive,Medium,Married,4779,3698,1,Yes,20,Outstanding,Low,0,8.0,2,Better,8,7,7,5,531.0,2.0,0.5555555555555556,6,0.1111111111111111,1,4.0,3,0.7777777777777778,531.0,2
28,Travel_Rarely,1404,Research & Development,17,Bachelor,Technical Degree,High,Male,32,Medium,1,Laboratory Technician,Very High,Divorced,2367,18779,5,No,12,Excellent,Low,1,6.0,2,Good,4,1,0,3,473.4,2.5,0.42857142857142855,4,0.8,0,1.0,0,0.0,338.14285714285717,0
45,Non-Travel,1050,Sales,9,Master,Life Sciences,Medium,Female,65,Medium,2,Sales Executive,High,Married,5593,17970,1,No,13,Excellent,Very High,1,15.0,2,Better,15,10,4,12,349.5625,3.0,0.75,4,0.6875,0,7.5,0,0.25,349.5625,0
26,Travel_Frequently,1283,Sales,1,Bachelor,Medical,High,Male,52,Medium,2,Sales Executive,Low,Single,4294,11148,1,No,12,Excellent,Medium,0,7.0,2,Better,7,7,0,7,536.75,2.25,0.875,4,0.875,0,3.5,0,0.0,536.75,0
36,Travel_Rarely,429,Research & Development,2,Master,Life Sciences,High,Female,53,High,2,Manufacturing Director,Medium,Single,5410,2323,9,Yes,11,Excellent,Very High,0,18.0,2,Better,16,14,5,12,318.2352941176471,3.0,0.631578947368421,6,0.6470588235294118,1,1.8,3,0.29411764705882354,284.7368421052632,2
48,Travel_Rarely,817,Sales,2,Below College,Marketing,Medium,Male,56,Very High,2,Sales Executive,Medium,Married,8120,18597,3,No,12,Excellent,Very High,0,12.0,3,Better,2,2,2,2,2706.6666666666665,2.75,0.15384615384615385,12,0.0,0,3.0,0,0.6666666666666666,624.6153846153846,0
43,Travel_Rarely,1473,Research & Development,8,Master,Other,High,Female,74,High,2,Healthcare Representative,High,Divorced,4522,2227,4,Yes,14,Excellent,Very High,0,8.0,3,Better,5,2,0,2,753.6666666666666,3.25,0.2222222222222222,9,0.8333333333333334,1,1.6,2,0.0,502.44444444444446,8
31,Travel_Rarely,1079,Sales,10,College,Medical,High,Female,86,High,2,Sales Executive,Very High,Divorced,6583,20115,2,Yes,11,Excellent,Very High,1,8.0,2,Better,5,2,1,4,1097.1666666666667,3.5,0.4444444444444444,6,0.6666666666666666,1,2.6666666666666665,1,0.16666666666666666,731.4444444444445,10
34,Travel_Frequently,735,Research & Development,22,Master,Other,High,Male,86,Medium,2,Research Scientist,Very High,Married,5747,26496,1,Yes,15,Excellent,Medium,0,16.0,3,Better,15,10,6,11,359.1875,3.0,0.6470588235294118,6,0.5625,1,8.0,1,0.375,338.05882352941177,22
47,Travel_Rarely,465,Research & Development,1,Bachelor,Technical Degree,Low,Male,74,High,1,Research Scientist,Very High,Married,3420,10205,7,No,12,Excellent,High,1,17.0,2,Good,6,5,1,2,488.57142857142856,2.5,0.1111111111111111,6,0.7142857142857143,0,2.125,0,0.14285714285714285,190.0,0
34,Travel_Rarely,285,Research & Development,29,Bachelor,Medical,Medium,Male,86,High,2,Laboratory Technician,High,Married,5429,17491,4,No,13,Excellent,Low,2,10.0,1,Better,8,7,7,7,603.2222222222222,2.25,0.6363636363636364,3,0.1111111111111111,0,2.0,0,0.7777777777777778,493.54545454545456,0
35,Travel_Rarely,890,Sales,2,Bachelor,Marketing,Very High,Female,97,High,1,Sales Representative,Very High,Married,2014,9687,1,No,13,Excellent,Low,0,2.0,3,Better,2,2,2,2,671.3333333333334,3.0,0.6666666666666666,9,0.0,0,1.0,0,0.6666666666666666,671.3333333333334,0
38,Travel_Rarely,1084,Research & Development,29,Bachelor,Technical Degree,Very High,Male,54,High,2,Manufacturing Director,Very High,Married,6261,4185,3,No,18,Excellent,Low,1,9.0,3,Bad,7,7,1,7,782.625,2.5,0.7,9,0.75,0,2.25,0,0.125,626.1,0
23,Travel_Rarely,373,Research & Development,1,College,Life Sciences,Very High,Male,47,High,1,Research Scientist,High,Married,1223,16901,1,No,22,Outstanding,Very High,1,1.0,2,Better,1,0,0,1,611.5,3.5,0.5,6,0.5,0,0.5,0,0.0,611.5,0
44,Travel_Frequently,920,Research & Development,24,Bachelor,Life Sciences,Very High,Male,43,High,1,Laboratory Technician,High,Divorced,3161,19920,3,Yes,22,Outstanding,Very High,1,19.0,0,Bad,1,0,0,0,1580.5,3.0,0.0,0,0.5,1,4.75,2,0.0,158.05,24
